Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"Lewis, Michael",,"=""0393324818""","=""9780393324815""",5,4.26,W. W. Norton  Company,Paperback,317,2004,2003,,2018/02/18,,,read,,,,1,,,0,,,,,
817791,The Blind Side,Michael   Lewis,"Lewis, Michael",,"=""0393330478""","=""9780393330472""",5,4.17,W. W. Norton & Company,Paperback,339,2007,2006,,2018/02/18,,,read,,,,1,,,0,,,,,
31287693,Dragon Teeth,Michael Crichton,"Crichton, Michael",,"=""0008173060""","=""9780008173067""",0,3.78,HarperCollins Publishers,Hardcover,295,2017,2017,,2018/02/18,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Carlo Pagetti, Greg Bear","=""""","=""""",4,3.89,Signet Classics,Paperback,118,2002,1895,,2018/02/18,,,read,,,,1,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, B.M. Mooyaart-Doubleday","=""""","=""""",4,4.15,Bantam,Mass Market Paperback,283,1993,1947,,2018/02/18,,,read,,,,1,,,0,,,,,
23453112,Modern Romance,Aziz Ansari,"Ansari, Aziz",Eric Klinenberg,"=""1594206279""","=""9781594206276""",5,3.82,Penguin Press,Hardcover,279,2015,2015,,2018/02/18,,,read,,,,1,,,0,,,,,
706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,"Stewart, Jon","Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms","=""0713998946""","=""9780713998948""",0,4.01,Allen Lane,Hardcover,228,2004,2004,,2018/02/18,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey,Paperback,193,2007,1979,,2018/02/18,,,read,,,,1,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",Berliani M. Nugrahani,"=""""","=""""",5,4.30,Riverhead Books,Paperback,371,2004,2003,,2018/02/18,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.28,Harper Perennial Modern Classics,Paperback,324,2006,1960,,2018/02/18,,,read,,,,1,,,0,,,,,
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""""","=""""",0,4.47,Amy Einhorn Books/G.P. Putnam's Sons,Hardcover,451,2009,2009,,2018/02/18,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
6294,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""006441034X""","=""9780064410342""",4,4.27,Harper Trophy,Mass Market Paperback,329,2001,1986,,2018/02/18,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.33,Scholastic Press,Hardcover,374,2008,2008,,2018/02/18,,,read,,,,1,,,0,,,,,
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",5,4.18,Tor Books,Mass Market Paperback,814,1990,1990,,2018/02/18,,,read,,,,1,,,0,,,,,
7980,"Pearls of Lutra (Redwall, #9)",Brian Jacques,"Jacques, Brian",,"=""0142401447""","=""9780142401446""",5,4.00,Firebird,Paperback,408,2004,1996,,2018/02/18,,,read,,,,1,,,0,,,,,
1729146,"Raven Rise (Pendragon, #9)",D.J. MacHale,"MacHale, D.J.",,"=""1416914188""","=""9781416914181""",5,4.19,Simon & Schuster Books for Young Readers,Hardcover,544,2008,2008,,2018/02/18,,,read,,,,1,,,0,,,,,
784911,"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,"Mull, Brandon",,"=""1590387422""","=""9781590387429""",0,4.15,Shadow Mountain,Hardcover,456,2007,2007,,2018/02/18,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
37586,The Lost Colony (Artemis Fowl #5),Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",5,4.00,Miramax Books/Hyperion Books for Children,Hardcover,385,2006,2006,,2018/02/18,,,read,,,,1,,,0,,,,,
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",5,4.46,Disney-Hyperion Books,Hardcover,586,2012,2012,,2018/02/18,,,read,,,,1,,,0,,,,,
66695,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",R.A. Salvatore,"Salvatore, R.A.",,"=""1560760478""","=""9781560760474""",5,4.21,Wizards of the Coast,Mass Market Paperback,309,1999,1991,,2018/02/18,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",4,4.36,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2018/02/18,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2018/02/18,,,read,,,,1,,,0,,,,,
