Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56627,Stumbling on Happiness,Daniel Todd Gilbert,"Gilbert, Daniel Todd",,"=""1400077427""","=""9781400077427""",2,3.83,Vintage,Paperback,263,2007,2006,2019/11/14,2019/11/13,,,read,,,,1,,,0,,,,,
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316078573""","=""9780316078573""",3,3.85,"Little, Brown and Company",Hardcover,444,2009,2009,2019/11/13,2019/11/13,,,read,,,,1,,,0,,,,,
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",5,4.23,Spectra,Kindle Edition,675,2002,1996,2019/11/13,2019/11/13,,,read,,,,1,,,0,,,,,
44002888,Reckoning of Fallen Gods,R.A. Salvatore,"Salvatore, R.A.",,"=""0765395320""","=""9780765395320""",4,4.09,Tor Books,Paperback,427,2019,2019,2019/10/21,2019/10/21,,,read,,,,1,,,0,,,,,
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",5,4.04,"Little, Brown and Company",Hardcover,388,2019,2019,2019/10/18,2019/10/18,,,read,,,,1,,,0,,,,,
6480781,Open,Andre Agassi,"Agassi, Andre",J.R. Moehringer,"=""0307268195""","=""9780307268198""",5,4.26,Knopf,Hardcover,388,2009,2009,2019/10/11,2019/10/11,,,read,,,,1,,,0,,,,,
26109394,Fool Me Once,Harlan Coben,"Coben, Harlan",,"=""0525955097""","=""9780525955092""",5,3.93,Dutton,Hardcover,387,2016,2016,2019/09/23,2019/09/23,,,read,,,,1,,,0,,,,,
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",4,4.44,Henry Holt and Company,Hardcover,465,2015,2015,2019/09/20,2019/09/20,,,read,,,,1,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",5,4.43,Knopf Publishing Group,Hardcover,339,2018,2018,2019/09/17,2019/09/17,,,read,,,,1,,,0,,,,,
35018912,"Child of a Mad God (Coven, #1)",R.A. Salvatore,"Salvatore, R.A.",,"=""0765395274""","=""9780765395276""",4,3.84,Tor Books,Hardcover,496,2018,2018,,2019/09/07,,,read,,,,1,,,0,,,,,
2744,"Anansi Boys (American Gods, #2)",Neil Gaiman,"Gaiman, Neil",,"=""0060515198""","=""9780060515195""",3,4.03,HarperCollins HarperTorch,Mass Market Paperback,387,2006,2005,2019/08/22,2019/06/29,,,read,,,,1,,,0,,,,,
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",5,4.34,Portfolio,Hardcover,328,2017,2017,2019/07/02,2019/06/28,,,read,,,,1,,,0,,,,,
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",5,4.16,Spectra Books,Mass Market Paperback,435,1996,1995,2019/06/26,2019/06/26,,,read,,,,1,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.47,Random House,Hardcover,334,2018,2018,2019/06/25,2019/06/03,,,read,,,,1,,,0,,,,,
18657632,"The Shadow Throne (The Shadow Campaigns, #2)",Django Wexler,"Wexler, Django",,"=""0091950589""","=""9780091950583""",4,4.12,Del Rey,Hardcover,512,2014,2014,2019/06/15,2019/06/06,,,read,,,,1,,,0,,,,,
21926865,The Accidental Superpower: The Next Generation of American Preeminence and the Coming Global Disorder,Peter Zeihan,"Zeihan, Peter",,"=""1455583669""","=""9781455583669""",5,4.36,Twelve,Hardcover,384,2014,2014,2019/06/08,2019/06/01,,,read,,,,1,,,0,,,,,
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",4,4.47,Crown Publishers,Hardcover,418,2016,2016,2019/06/03,2019/04/29,,,read,,,,1,,,0,,,,,
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,"=""0399162410""","=""9780399162411""",5,4.05,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,2019/06/01,2018/02/18,,,read,,,,1,,,0,,,,,
17383917,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""0062023179""","=""9780062023179""",2,4.23,HarperOne,Hardcover,223,2013,1942,2019/05/29,2019/05/22,,,read,,,,1,,,0,,,,,
15810910,"The Thousand Names (The Shadow Campaigns, #1)",Django Wexler,"Wexler, Django",,"=""0451465105""","=""9780451465108""",4,4.04,Roc,Hardcover,513,2013,2013,2019/05/28,2018/03/21,,,read,,,,1,,,0,,,,,
35134233,Like Brothers,Mark Duplass,"Duplass, Mark","Jay Duplass, Mindy Kaling","=""052552617X""","=""9780525526179""",5,4.07,Random House Audio Publishing Group,Audio CD,,2018,2018,2019/05/17,2019/05/11,,,read,,,,1,,,0,,,,,
16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"Brown, Daniel James",,"=""067002581X""","=""9780670025817""",4,4.36,Viking,Hardcover,404,2013,2013,2019/05/14,2019/05/08,,,read,,,,1,,,0,,,,,
28595941,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,"Sanderson, Brandon",,"=""0765391163""","=""9780765391162""",4,4.51,Tor Books,Hardcover,672,2016,2016,2019/05/11,2019/04/29,,,read,,,,1,,,0,,,,,
30312855,"The Last Magician (The Last Magician, #1)",Lisa   Maxwell,"Maxwell, Lisa",,"=""1481432079""","=""9781481432078""",3,4.07,Simon Pulse,Hardcover,500,2017,2017,2019/04/29,2019/04/15,,,read,,,,1,,,0,,,,,
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,"=""1476740186""","=""9781476740188""",1,3.91,Simon & Schuster,Hardcover,317,2018,2018,2019/04/25,2019/04/15,,,read,,,,1,,,0,,,,,
27220736,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.49,Scribner,Hardcover,400,2016,2016,2019/04/11,2019/04/03,,,read,,,,1,,,0,,,,,
19103097,"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,"=""""","=""""",5,4.15,Plume,Kindle Edition,402,2014,2014,2019/04/10,2019/04/06,,,read,,,,1,,,0,,,,,
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.49,Del Rey,Hardcover,524,2016,2016,2019/04/06,2019/03/25,,,read,,,,1,,,0,,,,,
23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,"Lawson, Jenny",,"=""1250077001""","=""9781250077004""",5,3.91,Flatiron Books,Hardcover,329,2015,2015,2019/03/27,2019/03/25,,,read,,,,1,,,0,,,,,
10079321,"The Magician King (The Magicians, #2)",Lev Grossman,"Grossman, Lev",,"=""043402080X""","=""9780434020805""",5,3.92,William Heinemann,Paperback,400,2011,2011,2019/03/23,2019/03/18,,,read,,,,1,,,0,,,,,
35068432,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt","=""0062319809""","=""9780062319807""",4,4.13,Harper,ebook,352,2018,2018,2019/03/22,2019/03/18,,,read,,,,1,,,0,,,,,
16130,Alexander Hamilton,Ron Chernow,"Chernow, Ron",,"=""""","=""""",4,4.22,Penguin Books,Paperback,818,2005,2004,2019/03/17,2019/03/06,,,read,,,,1,,,0,,,,,
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.53,Gollancz,Hardcover,513,2018,2018,2019/03/13,2019/03/09,,,read,,,,1,,,0,,,,,
31421117,Tears We Cannot Stop: A Sermon to White America,Michael Eric Dyson,"Dyson, Michael Eric",,"=""1250135990""","=""9781250135995""",2,4.31,St. Martin's Press,Hardcover,228,2017,2017,2019/03/12,2019/03/09,,,read,,,,1,,,0,,,,,
6101718,"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,"=""0670020559""","=""9780670020553""",5,3.51,Viking,Hardcover,402,2009,2009,2019/03/07,2019/03/06,,,read,,,,1,,,0,,,,,
36064445,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0241300657""","=""9780241300657""",3,3.87,Allen Lane,Paperback,272,2018,2018,2019/03/07,2019/03/06,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.40,Crown,Hardcover,384,2014,2012,2019/03/01,2018/02/18,,,read,,,,1,,,0,,,,,
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",5,4.44,Del Rey,ebook,430,2015,2015,,2019/02/26,,,read,,,,1,,,0,,,,,
20910157,Yes Please,Amy Poehler,"Poehler, Amy",,"=""0062268341""","=""9780062268341""",5,3.83,Dey St.,Hardcover,329,2014,2014,,2018/02/18,,,read,,,,1,,,0,,,,,
323355,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"Jr., Joseph Smith",,"=""0967686563""","=""9780967686561""",5,4.35,The Church of Jesus Christ of Latter-day Saints,Paperback,531,2013,1830,,2019/02/25,,,read,,,,1,,,0,,,,,
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""0743270754""","=""9780743270755""",4,4.28,Simon & Schuster,Paperback,916,2006,2005,,2019/02/23,,,read,,,,1,,,0,,,,,
7108001,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,"Grahame-Smith, Seth",,"=""0446563080""","=""9780446563086""",3,3.70,Grand Central Publishing,Hardcover,336,2010,2010,2019/02/21,2019/01/31,,,read,,,,1,,,0,,,,,
21413662,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",5,4.15,Houghton Mifflin Harcourt,Hardcover,303,2014,2014,,2019/02/18,,,read,,,,1,,,0,,,,,
33296669,The Cadaver King and the Country Dentist: A True Story of Injustice in the American South,Radley Balko,"Balko, Radley","Tucker Carrington, John Grisham","=""161039691X""","=""9781610396912""",5,4.02,PublicAffairs,Hardcover,391,2018,2018,,2019/02/17,,,read,,,,1,,,0,,,,,
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",4,3.82,Tor Books,Paperback,1006,2006,2004,,2019/02/11,,,read,,,,1,,,0,,,,,
243145,Codex,Lev Grossman,"Grossman, Lev",,"=""015602859X""","=""9780156028592""",5,3.02,Mariner Books,Paperback,348,2005,2004,,2019/02/11,,,read,,,,1,,,0,,,,,
39832183,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"Shaffer, Mary Ann",Annie Barrows,"=""1984801813""","=""9781984801814""",5,4.17,Dial Press,Paperback,291,2018,2008,,2019/01/31,,,read,,,,2,,,0,,,,,
13536649,"Trapped (The Iron Druid Chronicles, #5)",Kevin Hearne,"Hearne, Kevin",,"=""034553364X""","=""9780345533647""",5,4.27,Del Rey,Mass Market Paperback,290,2012,2012,2018/06/14,2019/01/05,,,read,,,,1,,,0,,,,,
16280678,"Shattered (The Iron Druid Chronicles, #7)",Kevin Hearne,"Hearne, Kevin",,"=""0345548485""","=""9780345548481""",5,4.28,Del Rey,Hardcover,352,2014,2014,2018/10/01,2019/01/05,,,read,,,,1,,,0,,,,,
526061,Walt Disney: An American Original,Bob Thomas,"Thomas, Bob",Walt Disney Company,"=""0786861290""","=""9780786861293""",2,4.31,Disney Editions,Hardcover,379,1994,1976,,2019/01/05,,,read,,,,1,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",5,4.26,Del Rey (Random House),Hardcover,382,2014,2014,,2019/01/05,,,read,,,,1,,,0,,,,,
15703770,"The Runaway King (The Ascendance Series, #2)",Jennifer A. Nielsen,"Nielsen, Jennifer A.",,"=""0545284155""","=""9780545284158""",4,4.23,Scholastic Press,Hardcover,331,2013,2013,,2019/01/05,,,read,,,,1,,,0,,,,,
4452257,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,"Simmons, Bill",,"=""034551176X""","=""9780345511768""",4,4.18,ESPN,Hardcover,736,2009,2009,,2019/01/05,,,read,,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.54,Penguin Group DAW,Hardcover,662,2007,2007,,2019/01/05,,,read,,,,1,,,0,,,,,
16071748,"Hunted (The Iron Druid Chronicles, #6)",Kevin Hearne,"Hearne, Kevin",,"=""0345533631""","=""9780345533630""",5,4.29,Del Rey,Mass Market Paperback,384,2013,2013,2018/07/02,2019/01/05,,,read,,,,1,,,0,,,,,
16280689,"Staked (The Iron Druid Chronicles, #8)",Kevin Hearne,"Hearne, Kevin",,"=""0345548515""","=""9780345548511""",5,4.24,Del Rey,Hardcover,310,2016,2016,2018/06/06,2019/01/05,,,read,,,,1,,,0,,,,,
12700306,"Tricked (The Iron Druid Chronicles, #4)",Kevin Hearne,"Hearne, Kevin",,"=""0345533623""","=""9780345533623""",5,4.25,Random House Publishing Group,Mass Market Paperback,341,2012,2012,2018/08/07,2019/01/05,,,read,,,,1,,,0,,,,,
13152,"The Angel Experiment (Maximum Ride, #1)",James Patterson,"Patterson, James",,"=""0446617792""","=""9780446617796""",3,4.07,Grand Central Publishing,Mass Market Paperback,445,2006,2005,2018/12/06,2019/01/05,,,read,,,,1,,,0,,,,,
16280691,"Scourged (The Iron Druid Chronicles, #9)",Kevin Hearne,"Hearne, Kevin",,"=""034554854X""","=""9780345548542""",5,3.98,Del Rey,Hardcover,268,2018,2018,2018/06/09,2019/01/05,,,read,,,,2,,,0,,,,,
6424171,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""0345370775""","=""9780345370778""",5,4.03,Ballantine Books,Mass Market Paperback,400,1991,1990,,2018/02/18,,,read,,,,1,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",5,4.34,Doubleday Books,Hardcover,1153,1990,1978,,2018/03/21,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,"=""0751529818""","=""9780751529814""",5,4.11,Warner,Paperback,210,2000,1997,,2018/03/21,,,read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","فيودور دوستويفسكي, Σωτήρης Πατατζής, David McDuff, ادوارد ابو حمرا","=""0143058142""","=""9780143058144""",0,4.22,Penguin,Paperback,671,2002,1866,,2018/03/21,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",5,3.87,HarperCollins,Paperback,197,1993,1988,,2018/03/21,,,read,,,,1,,,0,,,,,
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.08,Random House: Modern Library,Paperback,272,2004,1890,,2018/03/21,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
1617,"Night  (The Night Trilogy, #1)",Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac","=""""","=""""",0,4.34,Hill & Wang,Paperback,115,2006,1956,,2018/03/21,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
7933650,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0241950430""","=""9780241950432""",3,3.81,Penguin,Paperback,230,2010,1951,,2018/03/21,,,read,,,,1,,,0,,,,,
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",5,4.37,HarperCollins Publishers,Hardcover,64,1964,1964,,2018/03/21,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""0545010225""","=""9780545010221""",5,4.62,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,,2018/03/21,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.68,Penguin Books ,Paperback,182,1999,1954,,2018/03/21,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paavo Emil Cajander, Barbara A. Mowat, Paul Werstine","=""0743477111""","=""9780743477116""",4,3.75,Simon Schuster,Paperback,301,2004,1595,,2018/03/21,,,read,,,,1,,,0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",5,4.26,HarperCollins,Paperback,767,2002,1956,,2018/03/21,,,read,,,,1,,,0,,,,,
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",4,4.50,Houghton Mifflin Harcourt,Paperback,1216,2005,1955,,2018/03/21,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,"=""""","=""""",3,3.92,Scribner,Paperback,200,2004,1925,,2018/03/21,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ, Janez Gradišnik","=""""","=""""",5,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,2018/03/21,,,read,,,,1,,,0,,,,,
7613,Animal Farm,George Orwell,"Orwell, George","Celâl Üster, Boris Grabnar, Peter Škerl","=""0452284244""","=""9780452284241""",4,3.94,NAL,Paperback,122,2003,1945,,2018/03/21,,,read,,,,1,,,0,,,,,
